Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2025-08-29,108410.8359375,108410.8359375,112619.0546875,107559.625,112550.5234375,77843379644
2025-08-30,108808.0703125,108808.0703125,108929.3515625,107444.4453125,108409.40625,51486264208
2025-08-31,108236.7109375,108236.7109375,109491.0,108104.65625,108818.4609375,47986191770
2025-09-01,109250.59375,109250.59375,109890.5859375,107271.1796875,108228.75,66870372995
2025-09-02,111200.5859375,111200.5859375,111748.015625,108454.03125,109243.0703125,74776999491
2025-09-03,111723.2109375,111723.2109375,112600.2265625,110582.9609375,111190.6953125,61119643565
2025-09-04,110723.6015625,110723.6015625,112208.328125,109347.2265625,111718.1484375,60131132901
2025-09-05,110650.984375,110650.984375,113357.4921875,110233.3984375,110723.015625,60241647677
2025-09-06,110224.6953125,110224.6953125,111275.015625,110024.0859375,110650.5703125,21500719036
2025-09-07,111167.6171875,111167.6171875,111591.078125,110211.625,110221.328125,24618007520
2025-09-08,112071.4296875,112071.4296875,112869.234375,110630.609375,111163.015625,40212813407
2025-09-09,111530.546875,111530.546875,113225.4375,110776.703125,112077.578125,45984480722
2025-09-10,113955.359375,113955.359375,114275.25,110940.078125,111531.25,56377473784
2025-09-11,115507.5390625,115507.5390625,115522.546875,113453.8359375,113961.4296875,45685065332
2025-09-12,116101.578125,116101.578125,116769.3828125,114794.484375,115507.7890625,54785725894
2025-09-13,115950.5078125,115950.5078125,116334.6328125,115248.2734375,116093.5625,34549454947
2025-09-14,115407.65625,115407.65625,116181.5,115222.3984375,115950.2890625,32798036057
2025-09-15,115444.875,115444.875,116747.8828125,114461.0625,115399.6328125,52937859416
2025-09-16,116843.1875,116843.1875,117005.2734375,114813.09375,115423.7578125,45781744593
2025-09-17,116468.5078125,116468.5078125,117328.609375,114794.9765625,116840.5078125,60528025996
2025-09-18,117137.203125,117137.203125,117911.7890625,116188.796875,116461.265625,49457272032
2025-09-19,115688.859375,115688.859375,117479.7578125,115141.8203125,117137.671875,38828473971
2025-09-20,115721.9609375,115721.9609375,116191.1484375,115473.5234375,115691.125,22864449614
2025-09-21,115306.09375,115306.09375,115901.0859375,115252.578125,115730.2265625,22495852193
2025-09-22,112748.5078125,112748.5078125,115431.3125,112037.6484375,115309.21875,70684158591
2025-09-23,112014.5,112014.5,113351.9140625,111535.5703125,112757.4765625,47211853279
