Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2025-08-25,108236.7109375,108236.7109375,112619.0546875,107444.4453125,112550.5234375,177315835622
2025-09-01,111167.6171875,111167.6171875,113357.4921875,107271.1796875,108228.75,369258523185
2025-09-08,115407.65625,115407.65625,116769.3828125,110630.609375,111163.015625,310393050143
2025-09-15,115306.09375,115306.09375,117911.7890625,114461.0625,115399.6328125,292893677815
2025-09-22,112122.640625,112122.640625,115431.3125,108713.3984375,115309.21875,358886641603
2025-09-29,123513.4765625,123513.4765625,125559.2109375,111589.953125,112117.875,456130203494
2025-10-06,115169.765625,115169.765625,126198.0703125,104582.4140625,123510.453125,645797975711
2025-10-13,108666.7109375,108666.7109375,116020.484375,103598.4296875,115161.6796875,508815465964
2025-10-20,114472.4453125,114472.4453125,115260.90625,106778.0,108667.4453125,415030266271
2025-10-27,110639.625,110639.625,116273.3125,106376.6875,114479.8515625,378401671301
2025-11-03,104719.640625,104719.640625,110764.9140625,98962.0625,110646.90625,528630842986
2025-11-10,94177.078125,94177.078125,107428.2578125,92971.1640625,104723.7734375,530543355033
2025-11-17,86805.0078125,86805.0078125,95928.3671875,80659.8125,94180.875,601874776014
2025-11-24,87270.9140625,87270.9140625,89206.3359375,85272.1953125,86798.7734375,194391336935
