Price,Adj Close,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Date,,,,,,
2025-08-25,4390.01904296875,4390.01904296875,4513.859375,4264.1953125,4507.63134765625,99466149224
2025-09-01,4305.34765625,4305.34765625,4490.3466796875,4221.24755859375,4389.6259765625,227294877549
2025-09-08,4609.59765625,4609.59765625,4763.361328125,4277.85302734375,4305.38134765625,245538801318
2025-09-15,4451.3291015625,4451.3291015625,4670.5302734375,4428.330078125,4609.72314453125,218343142128
2025-09-22,4141.4765625,4141.4765625,4457.08251953125,3829.0107421875,4451.58056640625,286070262418
2025-09-29,4515.4228515625,4515.4228515625,4616.533203125,4087.92724609375,4141.3564453125,286791841361
2025-10-06,4164.427734375,4164.427734375,4755.22021484375,3460.222412109375,4515.30078125,409659856241
2025-10-13,3984.649658203125,3984.649658203125,4292.845703125,3678.620361328125,4164.04931640625,331048814445
2025-10-20,4157.9892578125,4157.9892578125,4177.310546875,3718.0771484375,3984.6962890625,251176585347
2025-10-27,3911.063232421875,3911.063232421875,4250.669921875,3681.909423828125,4158.0107421875,230963295396
2025-11-03,3582.621337890625,3582.621337890625,3912.63330078125,3063.0869140625,3911.747802734375,308652128404
2025-11-10,3092.847412109375,3092.847412109375,3656.14892578125,3007.07275390625,3583.44482421875,258479744078
2025-11-17,2801.676025390625,2801.676025390625,3218.13037109375,2626.87158203125,3092.941650390625,253999732045
2025-11-24,2936.990478515625,2936.990478515625,2982.822021484375,2763.3779296875,2801.204345703125,75990612000
